ID,Name,Gender,Height (ft),Weight (lbs),Arm Length (inches),Hand Size (inches),Max Velocity (mph),Vertical Jump (inches),Broad Jump (feet),Date,Sport,Activity.Name,Position.Name,Total.Duration,Total.Player.Load,Total.Distance..m.,Training.HSR,Heart.Rate.Exertion,Heart.Rate.Exertion.Per.Minute,Velocity.B3..Total...Efforts..Gen.2...Set.2.,Velocity.Band.2.Total.Distance..Set.2...m.,Velocity.Band.3.Total.Distance..Set.2...m.,Velocity.Band.4.Total.Distance..Set.2...m.,Acceleration.B2.3.Total.Efforts..Gen.2.,Deceleration.B2.3.Total.Efforts..Gen.2.,IMA.H.M.Accel,IMA.H.M.Decel,IMA.CoD.Left.High,IMA.CoD.Left.Medium,IMA.CoD.Right.High,IMA.CoD.Right.Medium,Maximum.Velocity..mph.,Week_of_Year
1,Oscar Brown,Male,5.25,134,30.1,6.1,18.3,36,10.8,8/13/2021,Soccer,Training,Midfielder,141.93,1085.2,13.31,7.09,4848.59,160.59,3.32,231.37,350.25,203.1,0.17,56.31,41.43,29.84,49.69,52.03,40.02,10.12,6.91,33
2,Steve Nelson,Male,6.4,201,35.9,6.4,21.9,33,6.6,8/14/2021,Soccer,Training,Midfielder,91.93,731.63,8317.5,0.21,14546.34,156.86,0.34,847.83,298.49,426.85,44.64,64.53,28.13,10.2,27.64,44.51,16.92,9.78,15.53,33
3,Nina Davis,Female,5.96,110,33.1,6.7,14.8,43,8.7,8/14/2021,Soccer,Training,Midfielder,107.6,654.57,6360.41,5.71,12912.75,122.46,6.13,854.19,636.49,428.63,11.24,16.38,31.84,77.22,55.05,53.66,4.91,35.58,17.97,33
4,Charlie Quinn,Male,5.7,198,25.9,7.7,18.7,37,10.6,8/16/2021,Soccer,Training,Midfielder,64.36,673.58,8904.07,4.73,12337.31,137.57,2.47,544.14,334.6,174.99,53.08,4.27,14.6,77.47,56.09,29.87,20.7,25.87,18.15,33
5,Jack Smith,Male,4.81,209,35.3,8.0,15.2,30,7.5,8/17/2021,Soccer,Training,Midfielder,88.32,135.69,5547.84,6.1,7526.13,105.66,7.44,705.88,794.98,347.93,38.09,46.22,27.39,12.45,27.83,9.12,20.98,13.6,10.3,33
6,Rita Harris,Female,4.81,173,35.4,6.6,22.2,35,9.5,8/17/2021,Soccer,Training,Midfielder,114.25,853.77,5945.75,0.67,1131.4,135.79,2.01,750.32,617.7,765.84,56.82,37.16,47.37,55.3,33.11,13.63,26.85,4.06,3.39,33
7,Karen Smith,Female,4.62,108,39.0,7.7,17.0,20,6.7,8/18/2021,Soccer,Game,Midfielder,169.21,189.02,2315.3,1.64,10332.78,86.69,3.41,148.01,117.88,674.14,8.76,72.91,11.48,10.96,27.44,54.09,30.59,36.56,2.41,33
8,Eve Garcia,Female,6.23,102,32.5,7.4,11.2,48,5.8,8/19/2021,Soccer,Training,Midfielder,137.38,1056.81,10243.28,3.43,3805.11,52.9,0.94,260.49,862.3,811.29,35.17,37.15,25.36,74.44,55.4,14.08,29.82,2.84,11.21,33
9,Tina Lopez,Female,5.7,184,28.5,6.7,12.5,26,10.6,8/22/2021,Soccer,Training,Midfielder,9.08,911.33,7414.08,1.7,6199.2,172.07,6.78,365.28,433.39,536.07,28.22,31.99,15.33,15.25,3.77,23.28,39.07,1.71,0.21,34
10,Nina Brown,Female,5.92,125,25.7,6.0,10.9,47,5.7,8/23/2021,Soccer,Training,Midfielder,154.65,616.67,8328.84,0.81,4260.48,97.06,1.06,2.82,419.49,836.23,20.06,69.81,57.42,62.16,8.73,40.55,34.59,29.62,3.34,34
11,Eve Roberts,Female,4.54,171,31.2,7.9,17.5,29,6.9,8/24/2021,Soccer,Training,Midfielder,150.74,395.88,5573.18,4.62,17538.36,142.47,0.34,981.47,395.9,696.26,2.42,71.46,14.7,63.66,56.45,34.13,22.29,38.79,8.16,34
