Name,Gender,Position,Height,Weight,Arm Length (inches),Hand Size (inches),Wingspan (inches),Max Velocity (mph),Arm Strength Velocity (mph),Arm Strength Distance (yards),Catch Radius (feet),3 Cone Drill (sec),20 Yard Shuttle (sec),40 Yard Dash (sec),10 Yard Split (sec),Bench Reps at 225,1 Rep Max Press (lbs),1 Rep Max Squat (lbs),Power Clean (lbs),Vertical Jump (inches),Broad Jump (feet),Positions Played,Field Goal Distance (yards),Field Goal Accuracy (%),Field Goal Consistency (avg misses),Punt Distance (yards),Punt Hang Time (seconds),Punt Accuracy (%),Punt Consistency (yards)
Thomas Wilson,Male,Wide Receiver,5.83,293,31.3,9.4,80.7,20.7,54.2,67.2,9.5,5.67,4.09,4.79,1.31,20,518,597,334,35.6,8.2,4,65,0.9,0.2,39,4.61,0.35,38
Kenneth Pham,Male,Linebacker,6.83,256,40.0,8.0,76.6,20.4,61.6,70.1,10.4,5.58,3.57,4.6,1.59,26,341,338,453,31.5,6.9,1,24,0.75,0.4,26,5.38,0.35,47
Craig Smith,Male,Kicker,5.42,233,27.1,9.2,71.5,18.8,59.6,61.7,8.3,7.83,3.66,4.53,1.98,20,444,514,340,35.5,9.8,4,38,0.9,1.2,34,4.98,0.43,49
Anthony Crosby,Male,Wide Receiver,6.25,255,30.8,8.2,74.0,20.6,64.7,55.0,7.4,6.99,5.31,5.48,1.63,45,257,311,212,30.2,8.7,4,30,0.75,1.0,51,4.08,0.46,44
Alfred Morris,Male,Cornerback,5.08,319,32.8,7.9,77.2,22.1,59.3,74.8,8.4,7.19,3.68,5.27,1.72,20,499,300,251,43.8,12.2,1,56,0.75,2.8,59,4.6,0.38,54
Michael Brooks,Male,Safety,6.75,271,29.2,10.0,76.0,17.9,58.6,40.1,10.2,6.34,4.19,4.63,1.64,37,401,335,485,35.2,11.1,1,59,0.91,0.0,36,5.5,0.38,60
Sergio Vincent,Male,Running Back,6.42,196,25.2,8.8,81.0,18.3,61.2,50.4,9.7,7.82,4.58,5.0,1.84,5,497,632,349,34.3,6.3,4,62,0.77,1.9,42,3.19,0.5,34
Bradley Crawford,Male,Offensive Lineman,5.33,331,31.5,8.7,71.0,17.5,60.4,41.8,11.0,6.12,3.65,4.66,1.71,24,399,719,409,32.2,12.0,1,42,0.78,0.3,40,5.22,0.26,45
Ryan Reed,Male,Safety,5.5,223,33.5,9.2,72.7,24.8,66.3,53.8,12.0,5.87,4.99,4.21,1.55,26,438,573,364,38.3,11.8,1,58,0.58,2.6,46,4.08,0.33,52
Travis Simon,Male,Cornerback,5.17,342,39.9,10.1,76.8,22.4,64.7,46.5,10.7,7.15,3.6,5.05,1.65,42,546,648,223,31.0,9.7,1,52,0.58,1.9,28,4.17,0.29,59
Rodney York,Male,Wide Receiver,5.67,169,28.9,10.1,66.5,20.7,59.5,48.6,6.9,7.09,3.99,5.28,1.44,37,477,512,204,30.9,11.4,1,14,0.8,1.4,30,3.12,0.41,36
James Beck,Male,Quarterback,6.5,177,25.5,9.3,78.0,20.2,57.1,61.4,11.8,6.0,3.7,4.59,1.63,20,318,473,469,44.3,9.4,4,27,0.69,2.9,36,5.28,0.39,36
Michael Mcdonald,Male,Tight End,6.83,254,33.1,8.1,84.0,21.9,50.3,54.8,7.9,7.49,3.9,5.1,1.34,5,388,525,387,22.3,7.6,4,27,0.71,2.1,57,3.69,0.34,55
Jeffrey Galvan,Male,Defensive Lineman,6.92,349,38.8,8.4,77.2,16.0,58.6,61.9,6.5,6.39,5.23,4.59,1.74,18,314,470,336,25.9,9.8,4,42,0.94,0.4,48,3.6,0.38,33
Edward Dougherty,Male,Wide Receiver,5.42,346,29.2,7.5,67.8,24.6,68.7,59.9,9.1,5.77,5.02,5.3,1.54,12,443,548,270,28.2,11.3,3,56,0.9,1.3,32,3.11,0.26,44
Garrett Martinez,Male,Quarterback,5.25,282,35.6,8.1,67.4,17.6,63.1,67.3,11.2,7.0,5.46,4.93,1.96,7,345,651,353,42.7,6.7,2,30,0.94,0.5,48,5.48,0.25,45
Robert Johnson,Male,Linebacker,6.25,311,35.5,8.7,65.7,19.3,68.1,64.2,12.6,6.21,3.7,5.25,1.61,8,345,747,470,28.9,10.8,2,23,0.78,0.1,59,5.06,0.44,42
John Garcia,Male,Tight End,6.5,220,26.3,8.4,81.8,22.3,69.8,68.1,6.7,6.4,4.66,5.26,1.76,28,547,667,206,25.2,8.2,2,16,0.62,1.7,33,4.62,0.41,41
